                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2374,                 4.1135,                 1.4228,                  0.002,                    0.6,                0.00183,                0.00143,                0.82407,                 4.2469,                 1.2086,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.0788,                  4.126,                 1.2782,                0.00333,                      1,                0.00479,                0.00334,                0.52738,                 3.9344,                0.89761,             5.9868e-05,             5.9868e-05,             5.9868e-05
                      3,                0.93568,                 3.6768,                  1.114,                0.00333,                      1,                0.06986,                0.05313,                0.43501,                 3.8478,                0.79558,              9.956e-05,              9.956e-05,              9.956e-05
                      4,                0.85489,                 3.4642,                 1.0083,                0.00333,                      1,                0.63127,                0.56901,                0.48923,                 3.5639,                0.81442,             0.00013908,             0.00013908,             0.00013908
                      5,                0.75872,                 2.7847,                0.93881,                0.00333,                      1,                0.90611,                0.72584,                0.59012,                 3.1566,                0.87079,             0.00017842,             0.00017842,             0.00017842
                      6,                0.64403,                 2.0206,                0.87351,                      1,                0.83004,                  0.995,                0.79582,                0.73515,                 2.8887,                0.92674,             0.00021758,             0.00021758,             0.00021758
                      7,                0.73913,                 1.8044,                0.89125,                0.00333,                      1,                  0.995,                0.87011,                0.63403,                 3.0448,                0.90599,             0.00025657,             0.00025657,             0.00025657
                      8,                0.63297,                 1.5589,                0.85578,                0.00333,                      1,                  0.995,                0.78756,                 0.7184,                 3.2061,                 0.9043,             0.00029538,             0.00029538,             0.00029538
                      9,                0.72636,                 1.7451,                0.88874,                0.00333,                      1,                  0.995,                0.80558,                0.67738,                 3.2645,                0.88952,             0.00033402,             0.00033402,             0.00033402
                     10,                0.58485,                 1.7054,                0.86693,                0.00333,                      1,                  0.995,                0.68306,                0.74435,                 3.3415,                0.88564,             0.00037248,             0.00037248,             0.00037248
                     11,                0.61755,                 1.3873,                0.86827,                0.00838,                      1,                  0.995,                0.70807,                0.83705,                 3.3081,                 0.8986,             0.00041076,             0.00041076,             0.00041076
                     12,                0.56832,                 1.4464,                 0.8554,                0.00333,                      1,                0.66945,                0.46774,                0.69239,                  3.619,                0.87942,             0.00044887,             0.00044887,             0.00044887
                     13,                0.62003,                 1.2844,                0.85373,                0.00333,                      1,                0.59819,                0.41138,                0.73006,                 3.7547,                0.90208,              0.0004868,              0.0004868,              0.0004868
                     14,                 0.6237,                 1.3106,                0.84205,                0.00333,                      1,                0.59814,                 0.4381,                0.70657,                 3.6312,                0.87646,             0.00052456,             0.00052456,             0.00052456
                     15,                0.68088,                 1.1784,                0.90325,                0.00333,                      1,                 0.7566,                0.60857,                0.69847,                 3.5784,                0.84449,             0.00056214,             0.00056214,             0.00056214
                     16,                 0.6187,                 1.0895,                0.85703,                0.00333,                      1,                0.61605,                0.54915,                0.67309,                 3.4785,                0.83364,             0.00059954,             0.00059954,             0.00059954
                     17,                0.58388,                 1.1819,                0.87901,                0.00333,                      1,                0.60919,                0.50717,                0.79326,                 3.5185,                0.92194,             0.00063677,             0.00063677,             0.00063677
                     18,                0.60121,                 1.1558,                 0.8737,                0.00333,                      1,                  0.995,                0.83558,                0.79673,                 3.3828,                0.91603,             0.00067382,             0.00067382,             0.00067382
                     19,                 0.5878,                 1.1147,                0.89205,                0.95569,                      1,                  0.995,                0.84211,                0.71548,                 3.1637,                0.90404,              0.0007107,              0.0007107,              0.0007107
                     20,                0.62684,                 1.0648,                 0.8965,                0.00793,                      1,                  0.995,                0.83558,                0.73898,                 3.1394,                 0.9657,              0.0007474,              0.0007474,              0.0007474
                     21,                0.60343,                 1.0546,                0.88009,                0.12103,                      1,                  0.995,                0.83558,                0.79492,                 3.1662,                0.99119,             0.00078392,             0.00078392,             0.00078392
                     22,                0.57859,                 1.1677,                0.87225,                0.87133,                      1,                  0.995,                0.87508,                0.66507,                 3.2167,                0.94622,             0.00082027,             0.00082027,             0.00082027
                     23,                0.61877,                 1.1159,                0.86554,                      1,                0.81486,                  0.995,                0.83057,                0.71126,                 3.1173,                0.91298,             0.00085644,             0.00085644,             0.00085644
                     24,                0.52742,                0.99048,                0.88222,                      1,                0.64369,                  0.995,                0.82557,                0.72577,                  2.896,                0.96682,             0.00089244,             0.00089244,             0.00089244
                     25,                0.55749,                0.97603,                0.86666,                      1,                0.89944,                  0.995,                0.82343,                 0.7401,                 2.8095,                0.88475,             0.00092826,             0.00092826,             0.00092826
                     26,                0.62557,                 1.0032,                0.85887,                0.99417,                      1,                  0.995,                0.81246,                0.72813,                 2.8198,                0.92544,              0.0009639,              0.0009639,              0.0009639
